question_id,prompt_strategy,model,model_answer,raw_response,response_time,tokens_used,timestamp,correct_answer,score,result_id
MIR-2024-v01-t01-Q036,Prompt-001,o3-mini-2025-01-31,D,D,2.09885311126709,196,2025-03-31T21:51:14.249140,D,3,MIR-2024-v01-t01-Q036-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q037,Prompt-001,o3-mini-2025-01-31,INVALID,,9.256750345230103,228,2025-03-31T21:51:24.006860,C,0,MIR-2024-v01-t01-Q037-RespINVALID-CorrectC-Score+0
MIR-2024-v01-t01-Q038,Prompt-001,o3-mini-2025-01-31,C,C,2.755253791809082,261,2025-03-31T21:51:27.262969,C,3,MIR-2024-v01-t01-Q038-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q039,Prompt-001,o3-mini-2025-01-31,D,D,8.001501083374023,280,2025-03-31T21:51:35.765384,D,3,MIR-2024-v01-t01-Q039-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q040,Prompt-001,o3-mini-2025-01-31,A,A,2.8282105922698975,143,2025-03-31T21:51:39.094461,A,3,MIR-2024-v01-t01-Q040-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q041,Prompt-001,o3-mini-2025-01-31,D,D,7.429139614105225,209,2025-03-31T21:51:47.024634,D,3,MIR-2024-v01-t01-Q041-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q042,Prompt-001,o3-mini-2025-01-31,C,C,2.428314447402954,174,2025-03-31T21:51:49.953818,C,3,MIR-2024-v01-t01-Q042-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q043,Prompt-001,o3-mini-2025-01-31,C,C,5.6293017864227295,208,2025-03-31T21:51:56.084155,B,-1,MIR-2024-v01-t01-Q043-RespC-CorrectB-Score-1
MIR-2024-v01-t01-Q044,Prompt-001,o3-mini-2025-01-31,D,D,4.3290910720825195,243,2025-03-31T21:52:00.914189,D,3,MIR-2024-v01-t01-Q044-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q045,Prompt-001,o3-mini-2025-01-31,D,D,3.098865032196045,237,2025-03-31T21:52:04.513962,D,3,MIR-2024-v01-t01-Q045-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q046,Prompt-001,o3-mini-2025-01-31,A,A,3.4002106189727783,247,2025-03-31T21:52:08.415067,A,3,MIR-2024-v01-t01-Q046-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q047,Prompt-001,o3-mini-2025-01-31,A,A,2.5419795513153076,139,2025-03-31T21:52:11.458032,A,3,MIR-2024-v01-t01-Q047-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q048,Prompt-001,o3-mini-2025-01-31,A,A,5.672055006027222,184,2025-03-31T21:52:17.631025,A,3,MIR-2024-v01-t01-Q048-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q049,Prompt-001,o3-mini-2025-01-31,D,D,3.36916184425354,209,2025-03-31T21:52:21.501488,D,3,MIR-2024-v01-t01-Q049-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q050,Prompt-001,o3-mini-2025-01-31,B,B,6.342170715332031,195,2025-03-31T21:52:28.344584,B,3,MIR-2024-v01-t01-Q050-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q051,Prompt-001,o3-mini-2025-01-31,D,D,8.408259153366089,193,2025-03-31T21:52:37.253785,C,-1,MIR-2024-v01-t01-Q051-RespD-CorrectC-Score-1
MIR-2024-v01-t01-Q052,Prompt-001,o3-mini-2025-01-31,B,B,2.465277910232544,221,2025-03-31T21:52:40.219947,B,3,MIR-2024-v01-t01-Q052-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q053,Prompt-001,o3-mini-2025-01-31,D,D,7.061309337615967,213,2025-03-31T21:52:47.782234,D,3,MIR-2024-v01-t01-Q053-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q054,Prompt-001,o3-mini-2025-01-31,B,B,2.4211859703063965,289,2025-03-31T21:52:50.704348,B,3,MIR-2024-v01-t01-Q054-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q055,Prompt-001,o3-mini-2025-01-31,A,A,5.728697776794434,331,2025-03-31T21:52:56.933990,A,3,MIR-2024-v01-t01-Q055-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q057,Prompt-001,o3-mini-2025-01-31,C,C,2.633296489715576,279,2025-03-31T21:53:00.068227,C,3,MIR-2024-v01-t01-Q057-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q058,Prompt-001,o3-mini-2025-01-31,B,B,1.3685503005981445,213,2025-03-31T21:53:01.937716,B,3,MIR-2024-v01-t01-Q058-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q059,Prompt-001,o3-mini-2025-01-31,D,D,1.7092397212982178,158,2025-03-31T21:53:04.147825,D,3,MIR-2024-v01-t01-Q059-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q060,Prompt-001,o3-mini-2025-01-31,A,A,4.07385778427124,256,2025-03-31T21:53:08.722672,A,3,MIR-2024-v01-t01-Q060-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q061,Prompt-001,o3-mini-2025-01-31,A,A,4.70753288269043,235,2025-03-31T21:53:13.931104,A,3,MIR-2024-v01-t01-Q061-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q062,Prompt-001,o3-mini-2025-01-31,D,D,2.031658887863159,148,2025-03-31T21:53:16.463650,D,3,MIR-2024-v01-t01-Q062-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q063,Prompt-001,o3-mini-2025-01-31,B,B,1.92295241355896,167,2025-03-31T21:53:18.887776,B,3,MIR-2024-v01-t01-Q063-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q064,Prompt-001,o3-mini-2025-01-31,D,D,2.582364082336426,221,2025-03-31T21:53:21.971039,D,3,MIR-2024-v01-t01-Q064-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q065,Prompt-001,o3-mini-2025-01-31,A,A,3.917719841003418,252,2025-03-31T21:53:26.389653,A,3,MIR-2024-v01-t01-Q065-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q066,Prompt-001,o3-mini-2025-01-31,A,A,2.0805346965789795,197,2025-03-31T21:53:28.971140,A,3,MIR-2024-v01-t01-Q066-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q067,Prompt-001,o3-mini-2025-01-31,B,B,4.369110345840454,245,2025-03-31T21:53:33.841171,B,3,MIR-2024-v01-t01-Q067-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q068,Prompt-001,o3-mini-2025-01-31,INVALID,,8.8521409034729,328,2025-03-31T21:53:43.194201,B,0,MIR-2024-v01-t01-Q068-RespINVALID-CorrectB-Score+0
MIR-2024-v01-t01-Q069,Prompt-001,o3-mini-2025-01-31,B,B,10.240187644958496,230,2025-03-31T21:53:53.935398,B,3,MIR-2024-v01-t01-Q069-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q070,Prompt-001,o3-mini-2025-01-31,A,A,6.894061803817749,208,2025-03-31T21:54:01.330380,A,3,MIR-2024-v01-t01-Q070-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q071,Prompt-001,o3-mini-2025-01-31,D,D,2.8096394538879395,167,2025-03-31T21:54:04.640924,D,3,MIR-2024-v01-t01-Q071-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q072,Prompt-001,o3-mini-2025-01-31,A,A,2.5516750812530518,189,2025-03-31T21:54:07.693491,A,3,MIR-2024-v01-t01-Q072-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q073,Prompt-001,o3-mini-2025-01-31,INVALID,,8.580822229385376,140,2025-03-31T21:54:16.775185,D,0,MIR-2024-v01-t01-Q073-RespINVALID-CorrectD-Score+0
MIR-2024-v01-t01-Q074,Prompt-001,o3-mini-2025-01-31,C,C,4.108123064041138,146,2025-03-31T21:54:21.384207,C,3,MIR-2024-v01-t01-Q074-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q075,Prompt-001,o3-mini-2025-01-31,A,A,1.8523874282836914,222,2025-03-31T21:54:23.737639,A,3,MIR-2024-v01-t01-Q075-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q076,Prompt-001,o3-mini-2025-01-31,C,C,5.9335105419158936,209,2025-03-31T21:54:30.171975,B,-1,MIR-2024-v01-t01-Q076-RespC-CorrectB-Score-1
MIR-2024-v01-t01-Q077,Prompt-001,o3-mini-2025-01-31,B,B,3.2954230308532715,195,2025-03-31T21:54:33.968268,B,3,MIR-2024-v01-t01-Q077-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q078,Prompt-001,o3-mini-2025-01-31,B,B,2.7535266876220703,235,2025-03-31T21:54:37.222672,B,3,MIR-2024-v01-t01-Q078-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q079,Prompt-001,o3-mini-2025-01-31,INVALID,,10.554368019104004,236,2025-03-31T21:54:48.277932,C,0,MIR-2024-v01-t01-Q079-RespINVALID-CorrectC-Score+0
MIR-2024-v01-t01-Q080,Prompt-001,o3-mini-2025-01-31,C,C,2.5207159519195557,230,2025-03-31T21:54:51.299660,C,3,MIR-2024-v01-t01-Q080-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q081,Prompt-001,o3-mini-2025-01-31,C,C,2.585855007171631,280,2025-03-31T21:54:54.386355,C,3,MIR-2024-v01-t01-Q081-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q082,Prompt-001,o3-mini-2025-01-31,D,D,3.0331854820251465,266,2025-03-31T21:54:57.920453,D,3,MIR-2024-v01-t01-Q082-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q083,Prompt-001,o3-mini-2025-01-31,B,B,3.1769113540649414,237,2025-03-31T21:55:01.598242,B,3,MIR-2024-v01-t01-Q083-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q084,Prompt-001,o3-mini-2025-01-31,A,A,9.674518346786499,261,2025-03-31T21:55:11.773621,D,-1,MIR-2024-v01-t01-Q084-RespA-CorrectD-Score-1
MIR-2024-v01-t01-Q085,Prompt-001,o3-mini-2025-01-31,C,C,4.1134254932403564,204,2025-03-31T21:55:16.387875,C,3,MIR-2024-v01-t01-Q085-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q086,Prompt-001,o3-mini-2025-01-31,C,C,2.553541898727417,169,2025-03-31T21:55:19.442331,C,3,MIR-2024-v01-t01-Q086-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q087,Prompt-001,o3-mini-2025-01-31,A,A,3.4946706295013428,215,2025-03-31T21:55:23.438171,A,3,MIR-2024-v01-t01-Q087-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q088,Prompt-001,o3-mini-2025-01-31,D,D,3.6040232181549072,319,2025-03-31T21:55:27.543175,D,3,MIR-2024-v01-t01-Q088-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q089,Prompt-001,o3-mini-2025-01-31,B,B,3.1882035732269287,253,2025-03-31T21:55:31.232307,B,3,MIR-2024-v01-t01-Q089-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q090,Prompt-001,o3-mini-2025-01-31,A,A,5.027044773101807,254,2025-03-31T21:55:36.760290,A,3,MIR-2024-v01-t01-Q090-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q091,Prompt-001,o3-mini-2025-01-31,INVALID,,8.87265419960022,198,2025-03-31T21:55:46.133851,B,0,MIR-2024-v01-t01-Q091-RespINVALID-CorrectB-Score+0
MIR-2024-v01-t01-Q092,Prompt-001,o3-mini-2025-01-31,C,C,4.288160562515259,182,2025-03-31T21:55:50.922948,C,3,MIR-2024-v01-t01-Q092-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q093,Prompt-001,o3-mini-2025-01-31,B,B,1.9762718677520752,248,2025-03-31T21:55:53.400080,B,3,MIR-2024-v01-t01-Q093-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q094,Prompt-001,o3-mini-2025-01-31,C,C,7.3227269649505615,230,2025-03-31T21:56:01.223701,C,3,MIR-2024-v01-t01-Q094-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q095,Prompt-001,o3-mini-2025-01-31,B,B,6.146295547485352,227,2025-03-31T21:56:07.870859,A,-1,MIR-2024-v01-t01-Q095-RespB-CorrectA-Score-1
MIR-2024-v01-t01-Q096,Prompt-001,o3-mini-2025-01-31,C,C,2.1917872428894043,149,2025-03-31T21:56:10.563458,C,3,MIR-2024-v01-t01-Q096-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q097,Prompt-001,o3-mini-2025-01-31,D,D,3.7056884765625,166,2025-03-31T21:56:14.770038,D,3,MIR-2024-v01-t01-Q097-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q098,Prompt-001,o3-mini-2025-01-31,C,C,2.5322608947753906,214,2025-03-31T21:56:17.803145,C,3,MIR-2024-v01-t01-Q098-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q099,Prompt-001,o3-mini-2025-01-31,A,A,2.002492904663086,208,2025-03-31T21:56:20.306532,A,3,MIR-2024-v01-t01-Q099-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q100,Prompt-001,o3-mini-2025-01-31,C,C,10.427563667297363,218,2025-03-31T21:56:31.235141,C,3,MIR-2024-v01-t01-Q100-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q101,Prompt-001,o3-mini-2025-01-31,B,B,2.4410853385925293,149,2025-03-31T21:56:34.177171,B,3,MIR-2024-v01-t01-Q101-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q102,Prompt-001,o3-mini-2025-01-31,D,D,7.576358795166016,189,2025-03-31T21:56:42.254470,D,3,MIR-2024-v01-t01-Q102-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q103,Prompt-001,o3-mini-2025-01-31,A,A,4.982872486114502,260,2025-03-31T21:56:47.738221,A,3,MIR-2024-v01-t01-Q103-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q104,Prompt-001,o3-mini-2025-01-31,C,C,12.774588346481323,263,2025-03-31T21:57:01.013619,C,3,MIR-2024-v01-t01-Q104-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q105,Prompt-001,o3-mini-2025-01-31,A,A,2.826310396194458,227,2025-03-31T21:57:04.340836,A,3,MIR-2024-v01-t01-Q105-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q106,Prompt-001,o3-mini-2025-01-31,C,C,2.727480888366699,196,2025-03-31T21:57:07.569209,C,3,MIR-2024-v01-t01-Q106-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q107,Prompt-001,o3-mini-2025-01-31,B,B,2.1330530643463135,171,2025-03-31T21:57:10.203195,B,3,MIR-2024-v01-t01-Q107-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q108,Prompt-001,o3-mini-2025-01-31,D,D,2.5951738357543945,236,2025-03-31T21:57:13.299251,D,3,MIR-2024-v01-t01-Q108-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q109,Prompt-001,o3-mini-2025-01-31,B,B,2.2603037357330322,141,2025-03-31T21:57:16.060474,B,3,MIR-2024-v01-t01-Q109-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q110,Prompt-001,o3-mini-2025-01-31,C,C,2.8109147548675537,170,2025-03-31T21:57:19.372258,C,3,MIR-2024-v01-t01-Q110-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q111,Prompt-001,o3-mini-2025-01-31,A,A,2.5004799365997314,175,2025-03-31T21:57:22.373653,A,3,MIR-2024-v01-t01-Q111-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q112,Prompt-001,o3-mini-2025-01-31,C,C,3.539466381072998,299,2025-03-31T21:57:26.414106,C,3,MIR-2024-v01-t01-Q112-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q113,Prompt-001,o3-mini-2025-01-31,B,B,2.5985796451568604,279,2025-03-31T21:57:29.513529,B,3,MIR-2024-v01-t01-Q113-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q114,Prompt-001,o3-mini-2025-01-31,D,D,3.207019090652466,149,2025-03-31T21:57:33.221431,D,3,MIR-2024-v01-t01-Q114-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q115,Prompt-001,o3-mini-2025-01-31,D,D,5.010886907577515,358,2025-03-31T21:57:38.733184,D,3,MIR-2024-v01-t01-Q115-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q116,Prompt-001,o3-mini-2025-01-31,C,C,6.415982246398926,169,2025-03-31T21:57:45.649956,C,3,MIR-2024-v01-t01-Q116-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q117,Prompt-001,o3-mini-2025-01-31,A,A,2.0652153491973877,153,2025-03-31T21:57:48.216027,A,3,MIR-2024-v01-t01-Q117-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q118,Prompt-001,o3-mini-2025-01-31,D,D,2.7728524208068848,202,2025-03-31T21:57:51.489819,D,3,MIR-2024-v01-t01-Q118-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q119,Prompt-001,o3-mini-2025-01-31,C,C,3.3609964847564697,263,2025-03-31T21:57:55.351671,C,3,MIR-2024-v01-t01-Q119-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q120,Prompt-001,o3-mini-2025-01-31,A,A,3.649195671081543,166,2025-03-31T21:57:59.501735,B,-1,MIR-2024-v01-t01-Q120-RespA-CorrectB-Score-1
MIR-2024-v01-t01-Q121,Prompt-001,o3-mini-2025-01-31,INVALID,,6.647725820541382,214,2025-03-31T21:58:06.650379,D,0,MIR-2024-v01-t01-Q121-RespINVALID-CorrectD-Score+0
MIR-2024-v01-t01-Q122,Prompt-001,o3-mini-2025-01-31,C,C,2.2735037803649902,224,2025-03-31T21:58:09.424772,C,3,MIR-2024-v01-t01-Q122-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q123,Prompt-001,o3-mini-2025-01-31,C,C,2.0320842266082764,205,2025-03-31T21:58:11.957730,C,3,MIR-2024-v01-t01-Q123-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q124,Prompt-001,o3-mini-2025-01-31,C,C,2.6905863285064697,353,2025-03-31T21:58:15.149196,C,3,MIR-2024-v01-t01-Q124-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q125,Prompt-001,o3-mini-2025-01-31,D,D,2.4018757343292236,180,2025-03-31T21:58:18.051955,D,3,MIR-2024-v01-t01-Q125-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q126,Prompt-001,o3-mini-2025-01-31,INVALID,,9.239185810089111,234,2025-03-31T21:58:27.792009,D,0,MIR-2024-v01-t01-Q126-RespINVALID-CorrectD-Score+0
MIR-2024-v01-t01-Q127,Prompt-001,o3-mini-2025-01-31,B,B,2.9767861366271973,165,2025-03-31T21:58:31.269780,B,3,MIR-2024-v01-t01-Q127-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q128,Prompt-001,o3-mini-2025-01-31,D,D,3.2466695308685303,331,2025-03-31T21:58:35.017320,D,3,MIR-2024-v01-t01-Q128-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q129,Prompt-001,o3-mini-2025-01-31,A,A,29.519323348999023,205,2025-03-31T21:59:05.037518,A,3,MIR-2024-v01-t01-Q129-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q130,Prompt-001,o3-mini-2025-01-31,D,D,2.7547554969787598,183,2025-03-31T21:59:08.293148,D,3,MIR-2024-v01-t01-Q130-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q131,Prompt-001,o3-mini-2025-01-31,D,D,4.053552627563477,348,2025-03-31T21:59:12.847629,D,3,MIR-2024-v01-t01-Q131-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q132,Prompt-001,o3-mini-2025-01-31,A,A,2.564646005630493,200,2025-03-31T21:59:15.913163,A,3,MIR-2024-v01-t01-Q132-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q133,Prompt-001,o3-mini-2025-01-31,B,B,3.7373178005218506,340,2025-03-31T21:59:20.151403,B,3,MIR-2024-v01-t01-Q133-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q134,Prompt-001,o3-mini-2025-01-31,C,C,3.0877327919006348,287,2025-03-31T21:59:23.740078,C,3,MIR-2024-v01-t01-Q134-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q135,Prompt-001,o3-mini-2025-01-31,B,B,3.9832451343536377,271,2025-03-31T21:59:28.224297,B,3,MIR-2024-v01-t01-Q135-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q136,Prompt-001,o3-mini-2025-01-31,C,C,3.547443151473999,345,2025-03-31T21:59:32.272770,C,3,MIR-2024-v01-t01-Q136-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q137,Prompt-001,o3-mini-2025-01-31,A,A,7.252593040466309,263,2025-03-31T21:59:40.026349,A,3,MIR-2024-v01-t01-Q137-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q138,Prompt-001,o3-mini-2025-01-31,D,D,2.1628079414367676,340,2025-03-31T21:59:42.690115,D,3,MIR-2024-v01-t01-Q138-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q139,Prompt-001,o3-mini-2025-01-31,D,D,18.66690969467163,185,2025-03-31T22:00:01.857983,D,3,MIR-2024-v01-t01-Q139-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q140,Prompt-001,o3-mini-2025-01-31,B,B,2.66351580619812,196,2025-03-31T22:00:05.022410,B,3,MIR-2024-v01-t01-Q140-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q141,Prompt-001,o3-mini-2025-01-31,A,A,1.881732702255249,137,2025-03-31T22:00:07.405321,A,3,MIR-2024-v01-t01-Q141-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q142,Prompt-001,o3-mini-2025-01-31,A,A,2.766187906265259,295,2025-03-31T22:00:10.672442,A,3,MIR-2024-v01-t01-Q142-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q143,Prompt-001,o3-mini-2025-01-31,B,B,1.3532299995422363,162,2025-03-31T22:00:12.526653,B,3,MIR-2024-v01-t01-Q143-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q144,Prompt-001,o3-mini-2025-01-31,B,B,2.6018266677856445,314,2025-03-31T22:00:15.629387,B,3,MIR-2024-v01-t01-Q144-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q145,Prompt-001,o3-mini-2025-01-31,D,D,2.2104175090789795,169,2025-03-31T22:00:18.340813,D,3,MIR-2024-v01-t01-Q145-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q146,Prompt-001,o3-mini-2025-01-31,C,C,3.5953688621520996,218,2025-03-31T22:00:22.437111,C,3,MIR-2024-v01-t01-Q146-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q147,Prompt-001,o3-mini-2025-01-31,B,B,3.692889928817749,158,2025-03-31T22:00:26.630869,B,3,MIR-2024-v01-t01-Q147-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q148,Prompt-001,o3-mini-2025-01-31,INVALID,ERROR,6.4236741065979,308,2025-03-31T22:00:33.555555,A,0,MIR-2024-v01-t01-Q148-RespINVALID-CorrectA-Score+0
MIR-2024-v01-t01-Q149,Prompt-001,o3-mini-2025-01-31,D,D,5.757657766342163,208,2025-03-31T22:00:39.814047,A,-1,MIR-2024-v01-t01-Q149-RespD-CorrectA-Score-1
MIR-2024-v01-t01-Q150,Prompt-001,o3-mini-2025-01-31,D,D,15.552432775497437,161,2025-03-31T22:00:55.867295,D,3,MIR-2024-v01-t01-Q150-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q151,Prompt-001,o3-mini-2025-01-31,A,A,4.037612438201904,313,2025-03-31T22:01:00.405793,A,3,MIR-2024-v01-t01-Q151-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q152,Prompt-001,o3-mini-2025-01-31,A,A,6.397676706314087,205,2025-03-31T22:01:07.304331,A,3,MIR-2024-v01-t01-Q152-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q153,Prompt-001,o3-mini-2025-01-31,B,B,3.617440700531006,240,2025-03-31T22:01:11.422637,B,3,MIR-2024-v01-t01-Q153-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q154,Prompt-001,o3-mini-2025-01-31,B,B,3.0510010719299316,231,2025-03-31T22:01:14.974494,B,3,MIR-2024-v01-t01-Q154-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q155,Prompt-001,o3-mini-2025-01-31,B,B,4.288567304611206,185,2025-03-31T22:01:19.763870,B,3,MIR-2024-v01-t01-Q155-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q156,Prompt-001,o3-mini-2025-01-31,C,C,2.8469934463500977,215,2025-03-31T22:01:23.111672,C,3,MIR-2024-v01-t01-Q156-RespC-CorrectC-Score+3
